,Type
0,2
1,1
2,2
3,2
4,1
5,2
6,1
7,2
8,2
9,2
10,3
11,2
12,2
13,2
14,3
15,3
16,1
17,1
18,2
19,1
20,3
21,1
22,3
23,2
24,2
25,3
26,2
27,2
28,3
29,1
30,3
31,3
32,2
33,2
34,3
35,3
36,2
37,2
38,1
39,2
40,3
41,1
42,2
43,2
44,3
45,3
46,3
47,2
48,3
49,1
50,3
51,2
52,3
53,1
54,1
55,3
56,1
57,2
58,1
59,1
60,2
61,2
62,1
63,3
64,2
65,3
66,2
67,2
68,1
69,3
70,3
71,1
72,3
73,2
74,3
75,1
76,2
77,3
78,1
79,1
80,2
81,3
82,3
83,2
84,1
85,2
86,1
87,2
88,2
89,3
90,2
91,2
92,2
93,1
94,1
95,1
96,1
97,2
98,2
99,1
100,3
101,2
102,2
103,2
104,3
105,3
106,1
107,3
108,1
109,3
110,3
111,3
112,3
113,1
114,2
115,3
116,3
117,1
118,3
119,2
120,1
121,1
122,3
123,3
124,1
125,3
126,1
127,1
128,1
129,2
130,1
131,1
132,3
133,3
134,2
135,3
136,1
137,1
138,1
139,1
140,2
141,1
142,3
143,1
144,3
145,3
146,2
147,3
148,1
149,1
150,1
151,1
152,2
153,3
154,2
155,1
156,1
157,2
158,3
